# year,month,oceanic_fraction,continental_fraction,land_fraction,forest_fraction
1.980000000000000000e+03,1.000000000000000000e+01,7.281510995165787481e-01,2.718489004834212519e-01,3.547834987472459067e-02,2.363705506086966612e-01
1.980000000000000000e+03,1.100000000000000000e+01,9.113948026417384440e-01,8.860519735826152821e-02,3.660184352136674341e-02,5.200335383689478480e-02
1.980000000000000000e+03,1.200000000000000000e+01,9.226799492933083213e-01,7.732005070669167868e-02,3.426921911496944723e-02,4.305083159172223145e-02
1.981000000000000000e+03,1.000000000000000000e+00,9.165021563022678341e-01,8.349784369773213810e-02,6.474665574421907543e-02,1.875118795351306267e-02
1.981000000000000000e+03,2.000000000000000000e+00,9.281226253220943301e-01,7.187737467790564216e-02,2.669166437242963957e-02,4.518571030547600259e-02
1.981000000000000000e+03,3.000000000000000000e+00,9.163718346984174312e-01,8.362816530158255490e-02,4.660353367346191378e-02,3.702463162812064112e-02
1.981000000000000000e+03,4.000000000000000000e+00,8.395195263377105421e-01,1.604804736622894301e-01,3.944403538223788253e-02,1.210364382800515476e-01
1.981000000000000000e+03,5.000000000000000000e+00,5.002410584351663081e-01,4.997589415648336919e-01,7.756887097656944841e-02,4.221900705882642435e-01
1.981000000000000000e+03,6.000000000000000000e+00,6.026678925053798874e-01,3.973321074946200571e-01,1.182948256921724228e-01,2.790372818024476342e-01
1.981000000000000000e+03,7.000000000000000000e+00,3.061605871610985075e-01,6.938394128389014925e-01,3.075270633459123992e-01,3.863123494929890933e-01
1.981000000000000000e+03,8.000000000000000000e+00,3.479146614411527949e-01,6.520853385588472051e-01,1.522492074016094099e-01,4.998361311572377952e-01
1.981000000000000000e+03,9.000000000000000000e+00,4.266388388837355494e-01,5.733611611162644506e-01,1.218673487145035539e-01,4.514938124017608967e-01
1.981000000000000000e+03,1.000000000000000000e+01,8.098439397033765363e-01,1.901560602966234914e-01,3.054732656363348675e-02,1.596087337329900047e-01
1.981000000000000000e+03,1.100000000000000000e+01,8.503108900711543461e-01,1.496891099288456817e-01,4.305112747181234767e-02,1.066379824570333340e-01
1.981000000000000000e+03,1.200000000000000000e+01,9.161230146014179843e-01,8.387698539858197411e-02,3.032209664438860475e-02,5.355488875419336936e-02
1.982000000000000000e+03,1.000000000000000000e+00,9.508330816335809343e-01,4.916691836641903790e-02,2.907617542017685436e-02,2.009074294624218354e-02
1.982000000000000000e+03,2.000000000000000000e+00,9.519918044818622693e-01,4.800819551813774455e-02,3.244478510162080581e-02,1.556341041651694047e-02
1.982000000000000000e+03,3.000000000000000000e+00,9.393212960603355421e-01,6.067870393966443010e-02,3.602440791591173669e-02,2.465429602375269341e-02
1.982000000000000000e+03,4.000000000000000000e+00,8.135401526059102828e-01,1.864598473940897172e-01,4.278747830023141296e-02,1.436723690938583042e-01
1.982000000000000000e+03,5.000000000000000000e+00,6.552110413222860252e-01,3.447889586777139193e-01,9.339431314252061300e-02,2.513946455351933063e-01
1.982000000000000000e+03,6.000000000000000000e+00,6.635925731691325602e-01,3.364074268308674398e-01,1.071068715701592455e-01,2.293005552607081943e-01
1.982000000000000000e+03,7.000000000000000000e+00,6.740521734909032947e-01,3.259478265090967608e-01,7.072336127910899828e-02,2.552244652299877625e-01
1.982000000000000000e+03,8.000000000000000000e+00,5.222697187218047210e-01,4.777302812781952790e-01,8.867324654443370369e-02,3.890570347337615753e-01
1.982000000000000000e+03,9.000000000000000000e+00,6.388411049839708422e-01,3.611588950160291578e-01,2.860180413120294585e-02,3.325570908848262119e-01
1.982000000000000000e+03,1.000000000000000000e+01,8.324095925545088592e-01,1.675904074454911408e-01,3.065999371923033845e-02,1.369304137262608023e-01
1.982000000000000000e+03,1.100000000000000000e+01,8.905678873437539167e-01,1.094321126562461249e-01,3.572323499408502911e-02,7.370887766216109582e-02
1.982000000000000000e+03,1.200000000000000000e+01,9.321073700062862954e-01,6.789262999371374618e-02,2.742899204459919860e-02,4.046363794911454759e-02
1.983000000000000000e+03,1.000000000000000000e+00,9.314837161763138695e-01,6.851628382368618597e-02,3.057976067083642557e-02,3.793652315284976040e-02
1.983000000000000000e+03,2.000000000000000000e+00,8.823094143869033568e-01,1.176905856130966155e-01,5.201733726502795474e-02,6.567324834806866074e-02
1.983000000000000000e+03,3.000000000000000000e+00,8.081791844469421449e-01,1.918208155530579107e-01,8.182647030522838261e-02,1.099943452478295280e-01
1.983000000000000000e+03,4.000000000000000000e+00,8.508842676958471296e-01,1.491157323041528704e-01,3.782946332721773275e-02,1.112862689769351376e-01
1.983000000000000000e+03,5.000000000000000000e+00,8.297810168221315674e-01,1.702189831778684603e-01,2.593713042988535222e-02,1.442818527479831081e-01
1.983000000000000000e+03,6.000000000000000000e+00,6.475018449252022412e-01,3.524981550747977588e-01,8.405603985765669472e-02,2.684421152171410641e-01
1.983000000000000000e+03,7.000000000000000000e+00,8.013690639155017781e-01,1.986309360844982497e-01,2.333037652428998632e-02,1.753005595602082634e-01
1.983000000000000000e+03,8.000000000000000000e+00,5.205144754543759023e-01,4.794855245456240977e-01,1.229526602873594610e-01,3.565328642582646368e-01
1.983000000000000000e+03,9.000000000000000000e+00,7.776272370682348889e-01,2.223727629317651389e-01,3.215581236904219153e-02,1.902169505627229473e-01
1.983000000000000000e+03,1.000000000000000000e+01,7.386930548923495987e-01,2.613069451076504013e-01,2.047101944878670921e-02,2.408359256588636921e-01
1.983000000000000000e+03,1.100000000000000000e+01,8.466881081445875035e-01,1.533118918554124688e-01,3.554267982918725421e-02,1.177692120262252146e-01
1.983000000000000000e+03,1.200000000000000000e+01,9.322372192367260890e-01,6.776278076327392486e-02,3.877179895152971928e-02,2.899098181174420558e-02
1.984000000000000000e+03,1.000000000000000000e+00,9.504018586072862096e-01,4.959814139271381817e-02,3.525041008823626837e-02,1.434773130447754806e-02
1.984000000000000000e+03,2.000000000000000000e+00,9.342513803407895834e-01,6.574861965921040274e-02,2.811149887209226511e-02,3.763712078711813763e-02
1.984000000000000000e+03,3.000000000000000000e+00,9.246153790905050629e-01,7.538462090949489547e-02,4.731841100521445853e-02,2.806620990428043347e-02
1.984000000000000000e+03,4.000000000000000000e+00,7.095673139668241536e-01,2.904326860331758464e-01,7.452364699498956191e-02,2.159090390381862845e-01
1.984000000000000000e+03,5.000000000000000000e+00,9.042189511456597550e-01,9.578104885434025884e-02,4.189481421442652065e-02,5.388623463991373819e-02
1.984000000000000000e+03,6.000000000000000000e+00,6.621795739737663666e-01,3.378204260262336889e-01,5.880619222247107647e-02,2.790142338037626124e-01
1.984000000000000000e+03,7.000000000000000000e+00,5.724809692721709586e-01,4.275190307278290414e-01,1.281634043107844900e-01,2.993556264170445513e-01
1.984000000000000000e+03,8.000000000000000000e+00,4.445453790655785609e-01,5.554546209344214391e-01,1.610098681748359239e-01,3.944447527595855152e-01
1.984000000000000000e+03,9.000000000000000000e+00,4.562280202323542033e-01,5.437719797676457967e-01,1.857110902124069485e-01,3.580608895552388482e-01
1.984000000000000000e+03,1.000000000000000000e+01,7.949419474587136047e-01,2.050580525412864508e-01,3.385755055895864341e-02,1.712005019823278074e-01
1.984000000000000000e+03,1.100000000000000000e+01,7.576043607061947460e-01,2.423956392938052540e-01,7.242206046053120683e-02,1.699735788332740472e-01
1.984000000000000000e+03,1.200000000000000000e+01,9.450050671527726598e-01,5.499493284722736797e-02,2.601698934608899852e-02,2.897794350113836945e-02
1.985000000000000000e+03,1.000000000000000000e+00,9.516014059219886079e-01,4.839859407801133662e-02,3.607646924466897942e-02,1.232212483334235893e-02
1.985000000000000000e+03,2.000000000000000000e+00,9.552231293046650196e-01,4.477687069533502207e-02,2.571962239099936931e-02,1.905724830433565276e-02
1.985000000000000000e+03,3.000000000000000000e+00,9.436399979838194785e-01,5.636000201618054928e-02,3.627820444092937080e-02,2.008179757525117501e-02
1.985000000000000000e+03,4.000000000000000000e+00,8.208238230665951818e-01,1.791761769334048460e-01,5.464577863609632047e-02,1.245303982973085255e-01
1.985000000000000000e+03,5.000000000000000000e+00,7.090792733082986743e-01,2.909207266917013257e-01,4.201797863399689414e-02,2.489027480577044316e-01
1.985000000000000000e+03,6.000000000000000000e+00,4.517693159535469682e-01,5.482306840464530318e-01,2.148438536149796518e-01,3.333868304314733799e-01
1.985000000000000000e+03,7.000000000000000000e+00,4.728582134392907976e-01,5.271417865607092024e-01,1.927801444439115053e-01,3.343616421167976971e-01
1.985000000000000000e+03,8.000000000000000000e+00,3.545143044512942820e-01,6.454856955487057180e-01,1.762629748858897116e-01,4.692227206628160063e-01
1.985000000000000000e+03,9.000000000000000000e+00,4.819210195764243032e-01,5.180789804235756968e-01,5.649152838081367145e-02,4.615874520427620253e-01
1.985000000000000000e+03,1.000000000000000000e+01,8.185369574732954678e-01,1.814630425267045599e-01,3.994029924433473155e-02,1.415227432823698284e-01
1.985000000000000000e+03,1.100000000000000000e+01,6.940087593319360648e-01,3.059912406680639352e-01,7.024277125238756470e-02,2.357484694156763705e-01
1.985000000000000000e+03,1.200000000000000000e+01,9.615609270821390275e-01,3.843907291786102104e-02,2.779706123050949829e-02,1.064201168735152102e-02
1.986000000000000000e+03,1.000000000000000000e+00,9.378126502640452555e-01,6.218734973595477916e-02,2.675391803904452609e-02,3.543343169691025307e-02
1.986000000000000000e+03,2.000000000000000000e+00,9.348368482804424451e-01,6.516315171955755492e-02,4.678952162111520152e-02,1.837363009844234993e-02
1.986000000000000000e+03,3.000000000000000000e+00,9.466432169446943323e-01,5.335678305530566073e-02,3.280519380024582432e-02,2.055158925505983641e-02
1.986000000000000000e+03,4.000000000000000000e+00,7.967710365264620842e-01,2.032289634735379158e-01,4.246525960386135501e-02,1.607637038696765608e-01
1.986000000000000000e+03,5.000000000000000000e+00,7.371685553109541544e-01,2.628314446890458456e-01,2.659743522416890826e-02,2.362340094648769373e-01
1.986000000000000000e+03,6.000000000000000000e+00,5.038226195657831141e-01,4.961773804342169414e-01,1.426903485832051732e-01,3.534870318510117682e-01
1.986000000000000000e+03,7.000000000000000000e+00,3.823276559010609921e-01,6.176723440989390079e-01,2.475594728295978375e-01,3.701128712693411704e-01
1.986000000000000000e+03,8.000000000000000000e+00,7.769534688147452517e-01,2.230465311852547761e-01,3.566752148177421144e-02,1.873790097034805646e-01
1.986000000000000000e+03,9.000000000000000000e+00,4.074765836885508863e-01,5.925234163114491137e-01,1.447778659116843447e-01,4.477455503997647690e-01
1.986000000000000000e+03,1.000000000000000000e+01,7.518484631506854310e-01,2.481515368493145135e-01,3.336309927888694848e-02,2.147884375704275650e-01
1.986000000000000000e+03,1.100000000000000000e+01,9.046698286979710790e-01,9.533017130202894873e-02,3.208734889033587612e-02,6.324282241169307262e-02
1.986000000000000000e+03,1.200000000000000000e+01,9.481302328010893232e-01,5.186976719891069065e-02,2.852549542840524671e-02,2.334427177050544394e-02
